challenge_hex,local_sap_hex,response_hex,verdict
8ecc65c4def47d789d1ac753fa537420c9997cdddc62f833b9ea3fc2ebb8dfcd39bf63c7ffffbb36ec6d87c3d414333cf71c4ee82f44f6825158395f850ded72b237dc29a14aa8054804c96d9750081de26a52288f01f977542fbddfaac0f3d669d4e4dee6373dac9acccb26359b76bdcb373f5f23ef71680b3a439fa778397c,00013edfdc995be3434d253af98316afbb683dc2ec95332b06ced3760465b7b13f0f532d4906df8d537263103e477c14050f669079ee6e8bd9c71a058a2a4f5c55c249200195266c72ecdd874e1c3f8c8d4d2fabd7de9ebe15b159374db9c8aeb0de1911fa8bde9848047e3cb4f0973aeada3abee41b739497dda82b8c957fb4,fc748776ca133640a528eab2425ab6ec80befd31,accepted
136ee885da0b19b8bff17369e17ffd4a00d7033c70e510b972e4b377972a9cdbb1418b4df90f6cdcf4a166bbc3e8927d9fb86c66499f1db0888c06404dbbfb2f486d192aeefa5a87f61f4407d3e0880f5c665dbc6eee42aad0b2fe9c66aaab8729fc459198b08f6b3ca550d0180a630d2f031be99c7a13fec1a055dd057bee72,0001d4828a34626ca0aa9a4c10efac12cc3b769a6dc0e5dff7893bc2cfc75f93ac09b766c0db1474d8d550df28ada133ad79ca2a51bdba336331b331a4e118cf8c27b0f081008a3f79e6bd17e03ee0ee30309ad0a6ac6ea58ab12581257bbfa58e22e7946f8331ad55a5edcdf61564f2de2d6d02053d7da7c0223f2350c12ee5,8946e3e032c3e9c1f51ce21f78bea354425ab025,accepted
548de86547a36d1467bd3bb7515c4fdcf16265f101312c175864f7bcac98a43ffbb8c86bf607ec6b77747ef315df26a3838e1af3ea9a08527b8a28c052fd3101e7fab89a07c86b7293053cb69c1a5ee6ee605f32e46a310d24cdef4011617221bac199688fb4c5da3e726dd7e8a115a557240c6e0ec8d5f7046052e8c3f2b6e7,0001c942f08419fb4be6d66806c9c9c71cee788aa65e2ea8d135c1d0f733e565fa108f76a278c33ff63fd2ea0c79f388d2b2122e2b8808851459967ceb7cf3e7a0bc57419e38cf8cf296199ef9bf9edfc5f4677546d7f1c9eff1f81b5ecc15d5800062886ac77ee5bcfb6281564c110153661b745cacb96fa43610a5d26c5e50,3ffc8b07fabd16b2e834adbc1f0d27864a4d5f3b,accepted
61e57f6cd057d23e8d0650184563c8c0c6dc3f49058aef72b0019f1e8250871f74edad4575242b70f202bd4ccaae685d4b15a48049589892d9374d1ba9b801499cfa44e463cafd95b0617c5e5faf4751e23974f20c1a54397bfbae9a398176c5d0d5e09821e3543ce5b02d6004a30f59ffaea98f978bd8d8380c1df638ec2d1f,0001b4dce51aa2d22470832154017d8fe780283f1087061758c2da12ddd21a9163df862eecaece3daf9e28a912849f9131d48ea43941a383198ec13e243ade74ce2c7adc96c94b707535fcd484ad59f661082d173e7722af94f194c3989322c2f95031859bcaa4f4aedf8d360832906529420e1a9732faae6af0cb281a6602c6,223b21b1d7623a6bf599b2f1e47cdbc5baf9819a,accepted
0407ab8bb9b4dac6635c29643c3680b03d155a7368c6be458bf1e26a98e88b73e3a0012adbec20a6214f07b8127f83d7c30e14952016f89ed9822ebe4fe9a8bea742ae585af7a862899ac6ba64cfe1e5ce4c7f6cd176b17751a6bd4d8f396765d93da80718c7f1e5577aed4fb97f22c9c83edede6c8766e9586c5ec0221f40bd,0001267f791a2edbbd180416c2cd3ea731d918df9c64539e07dbd38f469c5ecfc1f9bd59e611e7a840cdbea34d030ff3cf11a0bb7c96ee646c70c4ae21cc05c4c66d123d7e44466c84231c12ba4bacd06ef6af3d50b3a5b3e01925798cd83f2034d1dbb9516822c0e60a6c43168f2ea8f2588cee1109426859cc0e45afc1b88a,ddef86e904a661a3f40f5d76e96ac3088b7f17ad,accepted
d23208f8db79e4efc8965548559acb585e30c04c49d388cdcd23d04c3391c938a3b726422c98c88bffb67ad2a0dcf625743df854c9b265ea5342ec430697046847ebb4e993493ce199ada9143172800448f58fa5996727d601854ebf7719ecac6bc80bd35b31eb72a367a45aa84af575a89feb5c9896c40936c0b7286793afa3,0001ceffe1c39e5f698ca9ca15afa38234d88506a0e3dd42facba5e56f8078a7fa2dfc084937d381c5a1d21660c7d6c9646729ab453a5e98b0f869bb027b9d5808b451b4863f8dbdd0de5a948a406811166f5a8dc17afe38ce11ca3f7b00381fb06b5fe4c1cb0e7df744252bcb029a57a379d82be2bd4a945deb12ec7d12ba6b,d3ff4303f2f4c6499ab9ddb825285516bf0d3532,accepted
4e6f6ae31aa157a686328f28f0d45b0e07771eea84f283ca52e31ebe8a03f7dce10699dd7a925cc49498a72be54d985bc49c67dbf9083c210f5b333364f809ddb8cff8f8322d687eb85bb5a99af76a4d05bee469b328ddd961c435306221dac6ee125de0443dc04bb3c86ee08e103b2b73e27d71ac38bd2080adb7721c3f2b89,00016f8e3802a634a88940cde07dcbc8b0dd089d0226702c0e04f077df5b83ef687d925ce39775cbaa9128c76cbe215318d411ef6ac0ca85c98c4c58b69702e2376fbc3209ba2acfb66580816651b31a7b4a7b967a9277c53d7a3ad743fca9d6a331bc90bbabb8c2c928ad8ad91e9e1a3932102f3de8e74ba7962ef6938cb019,7874023e22e71f355e5770000d1dae1447558ae3,accepted
0880562c73894aa9f5ec397c18b4e40a3f2bd4c7cb0511da59f7b213b44c271b9539319c3c2d1fb0f22e55b3bae17549989c3f6238c5b5d162fbe222830497ceb6923895c019d0be4135709ee6f278f9c512123226ef25ca49d12623f72160edc7944eb1b0956bd2274c7642819d8f8c15dcea2544ad2573d29c28b8ff40037d,0001c86176c2bdbf1933b95f24c4d9282ea20401ad912b11f1e4028d19d543701496e401fa2c8c0f50e3ddc493c37584c970dff5ddb792a5fdc5e96f5edd0dc7946aa73a6b1836297ad447389311333ab9ecd505d21fa313e1ce722ab4f3d6b3607782327b71663898a603f3729439d2e7a88e4610ca0b1f3126ffe6bbff7859,c0639bae230e0e94e72d06a8aecef93fdc4a1ebd,accepted
b2842d47f2454209d8e337ee27cee462af6f8fe5b9519adb51882ad3e17c325a68ebb3f166894ae19d31e5fbdd18eb4f21e056d5043f3139401beedadc98bd7c4ff40b371f812a6f7079dfecf6105b77718ae34581b7045a60fb34c422ce29a84a846c95c8a10c8e61f27d900dced6fc3febf5bc80a2e22908f07548ac1eff2c,0001464329a9b361c29d6c02f07a8aede5f59f3af4891ae83e36b1f7586ae389b207c78b9a69588eeda092736ac609b994dd2beb613f9bb87218556931b29bd899c15301b2712558b63e41af6d830e59ef58139bd3db3bee6e9449807c823bba3a31806f1679b9b25eb9506e4891a7282f14e23839091ff57033742e37122742,7ef5c0e7eb7c9fb2656ab0cd27b2b1609f753c39,accepted
e9e835fb7d395c1b456603098efb96dbc8c99bf1fa00fcdb89dd373ec20b0057c0f234e7e36caf714702daaeb9f51569bbfc2b5fbb01d5115facbafdab969bcd7307761ede1ee41c56e849821ab511ba0c89516f1053f86ee04cb361509572e56ee3259b19692be7178a105741081c8e476aa6381d638a316065fa83def36153,0001e5e6b70b7a56f1f813a0288a136f6d8e41e33a8cd3f7981bcf284aa7b68cbd3fe1892d4f6316c6d260be71925fe40c5985941d9a62c3eb16465edca81f13a9fc3454abbe5ff518280fee5a57e3e1fcfc986fabae3ae15bcecfb19adaeec70a78014cc4d70dc404bb607ed2f46a2b5e3f2be49c494ddf854c97a260416c0b,2ec2b12b58e8b998ad81ce2bebcebcfeb2ad26c0,accepted
f786cee9d4114add1f9dcdd6d05868a8b5be9b7daee609f4e6fa55665303f7308ed67823100ddd6c79de78114d42f7e7942dd90e85533314a869cf3c1de8d6e5ec6ad741c37c3cb78311e68e73cb0a9e583b25718f5905878eb3cce0bff71a02069daeb08656f50f5cd5a602b17fefd4a415b962257d07af1a6360b6e7d4e9c2,0001e32429950b6295eca234084551eccd869c7a5b8290fe0110b8453a3958f429af39ec805d9a29ba3cf4c20a57ed3b77e6a930104c5cda1ce9d9e64a0391adaf1afc684329c2c6dcfc65dcb3738efca13ee275edea74224e774cce8ababfcd493a0506390cd3cf9c2ecd8220b2b62b3abaf48da9f33613c494ad138aef7fb3,d5c0d9760d5b2a3bb2d18692514ade5f0fe7bb81,accepted
cc3993d3ed6b600b071dab76d5f93997cd0e691f682f1f630b5903ef3857777df162e15d2548a2a71242041ecaa244edf486bb42cbdad40c3228074b317931f241433fe8d7ee30fe27dfc5967b67e5e51fd8744bae07137833f56d3b181264f258c9bd653f4e0772b4c86efb0b4993f5a726d010082a65d5048d8bd4f4461404,0001b4eed4a01ef6175672d33fdd2e5ab46c48ee5617e92b85565e9a529f77ad1b1020f59d546dc404a4e1e9765bf52d0baf3a7f1aac74f7d10b3ea9d9c7d0f6d2d7822747068b4f87917636059137e634df6314aab7e36aa75c7f51f20d302aec14adf90f5c3ca9ffdeed69eca01c87936bd75b22a121f549ad55e89eafb52d,20c4659d6bcb25476490096b56d25493a6866ef0,accepted
